iter	RMSE
165	0.01810715398
166	0.01799429483
167	0.01788363739
168	0.01775895971
169	0.01762610388
170	0.0174864253
171	0.01736508265
172	0.01724817636
173	0.01714635837
174	0.01704188743
175	0.01693253709
176	0.01680507557
177	0.01669046674
178	0.01656615544
179	0.01642564048
180	0.01629054445
181	0.01619324707
182	0.01608021554
183	0.01596587548
184	0.01581847924
185	0.01570390005
186	0.01562213685
187	0.01550806777
188	0.01541424627
189	0.01529673444
190	0.01519023939
191	0.01508908763
192	0.0149982832
193	0.01489315847
194	0.01480353186
195	0.01470542762
196	0.01461726339
197	0.01451988618
198	0.01443102645
199	0.01435218612
200	0.01427222536
201	0.01417651417
202	0.01408781649
203	0.01400612002
204	0.0139238658
205	0.01383244694
206	0.01376784605
207	0.01368336582
208	0.0136096463
209	0.01354543816
210	0.01343810524
211	0.01336733771
212	0.01327743594
213	0.0132021426
214	0.01313852602
215	0.01306788209
216	0.01301750813
217	0.01300299368
218	0.01299299978
219	0.01292785926
220	0.01290762266
221	0.0128086123
222	0.01274125759
223	0.01273085632
224	0.01271611026
225	0.01268396165
226	0.01263890307
227	0.01256754031
228	0.01255796723
229	0.01254233745
230	0.01252650658
231	0.01251328841
232	0.01249595157
233	0.01244001616
234	0.01237194325
235	0.01235330297
236	0.0123420887
237	0.01227108632
238	0.01225858617
239	0.01219891641
240	0.0121746464
241	0.01216225998
242	0.01209944336
243	0.01204276477
244	0.01197568636
245	0.01196480319
246	0.01190121536
247	0.01189216935
248	0.01188438042
249	0.01182894353
250	0.01178002717
251	0.01172322786
252	0.01171238282
253	0.01165985063
254	0.01162381308
255	0.01158541514
256	0.01157245329
257	0.01153976418
258	0.01148338015
259	0.01145658545
260	0.01144886338
261	0.01139329899
262	0.01133589749
263	0.01130175445
264	0.01127744231
265	0.011222437
266	0.01117556458
267	0.01112658075
268	0.01108728442
269	0.011042835
270	0.01103660173
271	0.01099069173
272	0.01093764424
273	0.01087926918
274	0.01083304522
275	0.01082310367
276	0.01077436277
277	0.01070662778
278	0.01066916437
279	0.01066072334
280	0.01061196263
281	0.01060354362
282	0.01056586663
283	0.01056215666
284	0.01051453399
285	0.01046106435
286	0.01041066802
287	0.01038745731
288	0.0103414932
289	0.01031976862
290	0.01028140886
291	0.01026844988
292	0.01026154018
293	0.01021873091
294	0.01017639751
295	0.01017213065
296	0.01016554855
297	0.01010922653
298	0.01006166446
299	0.0100435565
300	0.01003465051
301	0.009993299732
302	0.00994276101
303	0.00990385131
304	0.009900732178
305	0.009852883067
306	0.009821508411
307	0.009778152276
308	0.009769524163
309	0.009767126076
310	0.009763166296
311	0.009732528075
312	0.009708970201
313	0.009671518543
314	0.009619440262
315	0.009578545174
316	0.009529181797
317	0.009526430125
318	0.009500289699
319	0.009451222916
320	0.009428441615
321	0.009392232771
322	0.00935633014
323	0.009317061153
324	0.009284151542
325	0.009277052357
326	0.009253075394
327	0.009241259946
328	0.009183965933
329	0.009148149293
330	0.009133614639
331	0.009087147943
332	0.009052078999
333	0.009007866184
334	0.008977854121
335	0.008974716105
336	0.008968210157
337	0.008951923094
338	0.008943635343
339	0.008904889183
340	0.008867037298
341	0.008829413007
342	0.008824627031
343	0.008790905359
344	0.008752565226
345	0.008746744881
346	0.008720215544
347	0.008688861961
348	0.008659541135
349	0.008641058907
350	0.008611976254
351	0.008586684351
352	0.008574706906
353	0.008560286076
354	0.008537324992
355	0.008520227449
356	0.008499903626
357	0.008465557883
358	0.00841315551
359	0.008387183086
360	0.008373209791
361	0.008347289594
362	0.008317246772
363	0.008310943288
364	0.008291852356
365	0.008261705556
366	0.008240653165
367	0.008211927295
368	0.008202024036
369	0.008179720175
370	0.008176871061
371	0.008134710323
372	0.008118714019
373	0.008110573829
374	0.008107531341
375	0.008100025194
376	0.008082234164
377	0.008072124564
378	0.008065311549
379	0.008028194215
380	0.008023087822
381	0.008012913781
382	0.007960014964
383	0.00793987101
384	0.007892952488
385	0.007857298287
386	0.007822370694
387	0.007804582427
388	0.007761309767
389	0.00772946084
390	0.007694308274
391	0.007673203703
392	0.007661827915
393	0.007659455409
394	0.007653356121
395	0.007627917131
396	0.007623069892
397	0.007604050845
398	0.007584540997
399	0.007555173787
400	0.007538338063
401	0.007501349679
402	0.007493217603
403	0.007475305524
404	0.007446617477
405	0.007412906561
406	0.007372841155
407	0.0073668047
408	0.007360939234
409	0.007348538284
410	0.007312385573
411	0.007287800209
412	0.007270986158
413	0.007246013618
414	0.007232091445
415	0.007227799609
416	0.007212302714
417	0.007179964522
418	0.007177726669
419	0.007164670237
420	0.007142324657
421	0.007096401441
422	0.007063427837
423	0.007048483424
424	0.007044077718
425	0.007013700786
426	0.007004245659
427	0.006996231156
428	0.006969417955
429	0.006946843634
430	0.0069253128
431	0.006892865302
432	0.006861977038
433	0.006858819187
434	0.006824407567
435	0.006802079738
436	0.006793343194
437	0.006761456874
438	0.006748560153
439	0.006738354869
440	0.006712108241
441	0.00668650848
442	0.006660623394
443	0.006629419053
444	0.006620897071
445	0.00660676593
446	0.006596829851
447	0.006578534014
448	0.006573964982
449	0.006548519312
450	0.006529344175
451	0.006517507396
452	0.006483442092
453	0.006469299259
454	0.006446761172
455	0.006432081128
456	0.006423947206
457	0.006421140106
458	0.006391926271
459	0.006387995078
460	0.006385947561
461	0.006357547181
462	0.006343099008
463	0.006338108359
464	0.006322840013
465	0.006312336538
466	0.006294380459
467	0.006283470412
468	0.006280693414
469	0.006277687772
470	0.006260867552
471	0.006235522171
472	0.00622258564
473	0.006212641091
474	0.006202491773
475	0.006186057513
476	0.006173566911
477	0.006170037521
478	0.006148287585
479	0.006114509823
480	0.006094911505
481	0.006087653528
482	0.006080877252
483	0.006059812133
484	0.006039118013
485	0.006014271906
486	0.00600215029
487	0.005993848217
488	0.005988240641
489	0.005984124157
490	0.005961057863
491	0.005937114379
492	0.005927498184
493	0.005901580062
494	0.005889020547
495	0.005867081875
496	0.005841134322
497	0.005829252879
498	0.005810168829
499	0.005792584949
500	0.005779977539
501	0.005768878557
502	0.00574837852
503	0.005739150668
504	0.005716858635
505	0.005711504668
506	0.005698029495
507	0.005680807848
508	0.005658140424
509	0.00564406656
510	0.005638838558
511	0.005612484126
512	0.005602613158
513	0.005575363886
514	0.005564831435
515	0.005550451938
516	0.005531733019
517	0.005510011183
518	0.005497002972
519	0.005473676868
520	0.005468526097
521	0.005436996685
522	0.005412600659
523	0.00539359436
524	0.005380288514
525	0.005356778961
526	0.00533362065
527	0.005326583233
528	0.005317525304
529	0.005298349734
530	0.00529315681
531	0.005275866289
532	0.005263332285
533	0.005251190348
534	0.005237472667
535	0.005223100884
536	0.005218727651
537	0.005198405164
538	0.005192251042
539	0.005171643698
540	0.005156353101
541	0.005137468675
542	0.005116663392
543	0.005095908884
544	0.005081628033
545	0.005077877412
546	0.005059055035
547	0.005050254272
548	0.005028411562
549	0.005018627098
550	0.005008524068
551	0.005001421293
552	0.004988782126
553	0.004965443107
554	0.004947968965
555	0.004928749324
556	0.004911570318
557	0.004903318099
558	0.004881568022
559	0.004875572726
560	0.004855114045
561	0.004841933318
562	0.004825214012
563	0.004808874538
564	0.004782882002
565	0.004778707451
566	0.004765181912
567	0.004747199491
568	0.004737202851
569	0.004719697527
570	0.004710876898
571	0.004702599757
572	0.004698781431
573	0.004686871123
574	0.00466880856
575	0.004658567049
576	0.004639328165
577	0.004625452473
578	0.004611617475
579	0.004604462183
580	0.00458380406
581	0.004572180553
582	0.004558989108
583	0.004545544692
584	0.004536585363
585	0.004515254409
586	0.004500705356
587	0.004488487032
588	0.004479994191
589	0.004474960751
590	0.004465789789
591	0.004459745537
592	0.004439887495
593	0.004433002595
594	0.004421506865
595	0.004409444032
596	0.004396121785
597	0.004387019632
598	0.00437828509
599	0.004368796676
600	0.00435770277
601	0.004350292887
602	0.004338078361
603	0.004321944405
604	0.004302015145
605	0.004286263472
606	0.004274433493
607	0.004256624411
608	0.004248369257
609	0.004230750536
610	0.004222602475
611	0.004212230463
612	0.004202935392
613	0.004193639063
614	0.004183343102
615	0.004175248018
616	0.004163878214
617	0.004150756849
618	0.004140421413
619	0.004132495843
620	0.004119837178
621	0.004110255772
622	0.00409918099
623	0.004090622669
624	0.004084511983
625	0.004069456506
626	0.004060818847
627	0.004043476859
628	0.004032920548
629	0.004027652769
630	0.004018405633
631	0.004005067751
632	0.003996945533
633	0.003989604026
634	0.003979653923
635	0.003971816817
636	0.003956676122
637	0.00395278474
638	0.003946278549
639	0.003938311276
640	0.003930284081
641	0.00392488792
642	0.003915432368
643	0.003904589621
644	0.003888877898
645	0.003879004235
646	0.003867281262
647	0.003862767508
648	0.00385856608
649	0.003844719965
650	0.003837215124
651	0.003830292547
652	0.003819643577
653	0.00381377066
654	0.003809028851
655	0.003797848418
656	0.003783519616
657	0.003772225323
658	0.003762191387
659	0.003751064165
660	0.003742633093
661	0.003739197788
662	0.003732648044
663	0.003716628494
664	0.003708785004
665	0.003699985107
666	0.003693064869
667	0.003683555928
668	0.003674615135
669	0.003669266994
670	0.003664164304
671	0.003655630917
672	0.003646522947
673	0.003632543285
674	0.003624479054
675	0.003613958063
676	0.003606839357
677	0.003596069584
678	0.003586402895
679	0.003577846254
680	0.003567143619
681	0.003556875864
682	0.003547070581
683	0.003543073218
684	0.003533966688
685	0.003528269887
686	0.003513978603
687	0.003503438817
688	0.00349140104
689	0.003480599375
690	0.003473353742
691	0.003467608176
692	0.003455577401
693	0.003447431326
694	0.003439597434
695	0.003431340897
696	0.003424820829
697	0.003419044218
698	0.003408199911
699	0.003399293716
700	0.003390105221
701	0.003379425236
702	0.003370542353
703	0.003367228819
704	0.003363717859
705	0.003353387221
706	0.003349306849
707	0.003341496557
708	0.003335705946
709	0.003323356138
710	0.003315904687
711	0.003306785075
712	0.003298031544
713	0.003286497617
714	0.003272497544
715	0.003260695447
716	0.003256195973
717	0.003241731102
718	0.003229975751
719	0.003217287586
720	0.003206447954
721	0.003199846326
722	0.00319099059
723	0.00317943851
724	0.003176196219
725	0.00317126015
726	0.003163009796
727	0.003154515801
728	0.003152297329
729	0.003143335028
730	0.003137602687
731	0.003130826715
732	0.00312628417
733	0.003115533498
734	0.003100120093
735	0.003090876267
736	0.003084081655
737	0.0030756051
738	0.003067950852
739	0.003062905751
740	0.003058462963
741	0.003048265015
742	0.003045140183
743	0.003036277945
744	0.003029059828
745	0.003023160586
746	0.003015500273
747	0.003009494177
748	0.003005133089
749	0.002998001129
750	0.002993237009
751	0.00298463993
752	0.002980356053
753	0.002975141346
754	0.002969670111
755	0.002957624718
756	0.002946653178
757	0.002938479917
758	0.002931962543
759	0.002920271569
760	0.002915985955
761	0.002909973025
762	0.002904525804
763	0.002899759535
764	0.002891189339
765	0.002885126484
766	0.002875935657
767	0.002871143855
768	0.002866055132
769	0.002858818294
770	0.002851019434
771	0.002844212957
772	0.002839110768
773	0.002835464502
774	0.002825097583
775	0.002819333482
776	0.002814177374
777	0.002808792373
778	0.002801697151
779	0.002793471887
780	0.002783615911
781	0.002774008633
782	0.002772342268
783	0.002765292655
784	0.002762425227
785	0.002755711208
786	0.002749380869
787	0.002745127269
788	0.002740318673
789	0.002734673341
790	0.002728208757
791	0.002723145829
792	0.002714497965
793	0.002709615711
794	0.002702422516
795	0.002692523068
796	0.00268848398
797	0.002681036444
798	0.0026749134
799	0.002667059193
800	0.002660683274
801	0.002653409353
802	0.002646529743
803	0.00263866218
804	0.002633042975
805	0.002624869473
806	0.002618804478
807	0.002612622658
808	0.002607639637
809	0.002602482825
810	0.002598549376
811	0.002592126417
812	0.002584726339
813	0.002581693127
814	0.002575085221
815	0.002571617855
816	0.00256811249
817	0.002559805983
818	0.002553791675
819	0.00255056607
820	0.002544569975
821	0.002538916211
822	0.002532100078
823	0.002525997814
824	0.002518913064
825	0.002514613271
826	0.002508719199
827	0.002501914615
828	0.002493687959
829	0.002490568891
830	0.00248134323
831	0.002474838011
832	0.002471840596
833	0.002469335616
834	0.002466052439
835	0.002458967984
836	0.002455376694
837	0.002453052908
838	0.00244658544
839	0.00244180195
840	0.002437199924
841	0.002434618418
842	0.002428508674
843	0.002424087409
844	0.002418769511
845	0.002415145112
846	0.002409790083
847	0.002406695432
848	0.002400142225
849	0.002394029457
850	0.002390119326
851	0.002385464786
852	0.002380206643
853	0.002375561848
854	0.002370658391
855	0.002366828785
856	0.002364858438
857	0.002362177012
858	0.002357083102
859	0.002350970837
860	0.002347870652
861	0.002342757374
862	0.00233977721
863	0.002336167008
864	0.002331172523
865	0.00232584385
866	0.002322562289
867	0.002318261167
868	0.002313775137
869	0.002310645823
870	0.00230579773
871	0.002304045546
872	0.002299648576
873	0.002293726988
874	0.002288579358
875	0.002285321732
876	0.002281550057
877	0.002275658817
878	0.002271888791
879	0.002265942127
880	0.002260133429
881	0.002256707313
882	0.002252380244
883	0.002246417981
884	0.002244065096
885	0.002241423547
886	0.002236613752
887	0.002233128363
888	0.00223020975
889	0.002223343352
890	0.002216158946
891	0.002212267687
892	0.002209973158
893	0.002205639549
894	0.002197876652
895	0.002193070399
896	0.002190395026
897	0.0021881076
898	0.002184831801
899	0.002179499338
900	0.002175138413
901	0.002169851378
902	0.002166370009
903	0.002160815875
904	0.00215828246
905	0.002153308757
906	0.002150278484
907	0.002147117124
908	0.002144244383
909	0.002139822188
910	0.00213617764
911	0.002131505335
912	0.002126976964
913	0.002123873471
914	0.002122019649
915	0.002117792948
916	0.002115930302
917	0.002114036839
918	0.002109674915
919	0.002106621024
920	0.002103726206
921	0.002100268284
922	0.00209807252
923	0.002094333992
924	0.00209008553
925	0.002087025797
926	0.002083923444
927	0.002079073009
928	0.002076050107
929	0.002073506562
930	0.002069155439
931	0.002064955229
932	0.002060223967
933	0.002056308941
934	0.002052418023
935	0.002047936656
936	0.002043519022
937	0.002039256543
938	0.002035473762
939	0.002033241075
940	0.002029649664
941	0.002026155196
942	0.002021743697
943	0.002018093094
944	0.002013327955
945	0.002010653676
946	0.002006093513
947	0.002001821272
948	0.001997529755
949	0.001994206448
950	0.001991007112
951	0.001989399761
952	0.001985254705
953	0.001982393746
954	0.001979536871
955	0.001975331708
956	0.00197273554
957	0.00196887322
958	0.001965420776
959	0.001962443039
960	0.001959099519
961	0.00195536744
962	0.001952035692
963	0.001948526771
964	0.001945379485
965	0.001943246156
966	0.001941222456
967	0.001936027932
968	0.001930937164
969	0.001926116864
970	0.00192363006
971	0.001919888792
972	0.001914517235
973	0.001912628
974	0.00190896005
975	0.001907092742
976	0.001905167308
977	0.001902461783
978	0.001899267603
979	0.001895922207
980	0.001892968387
981	0.00189030848
982	0.001888399617
983	0.001885871456
984	0.00188254954
985	0.001877710927
986	0.001874724895
987	0.001871889223
988	0.001868127994
989	0.001861518893
990	0.001858064248
991	0.001854517272
992	0.001850742809
993	0.001848515606
994	0.001845492825
995	0.001840741397
996	0.001836185353
997	0.001834453865
998	0.001829989789
999	0.001828146193
